         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            70692724               6        19.41        22.88          116.46          137.28
            27640169              59        10.52        15.35          620.68          905.65
            76254359              49        10.58        14.73          518.42          721.77
            48635725              21        18.82        23.72          395.22          498.12
            27972823              12        28.73        32.17          344.76          386.04
            60360685              42        28.86        33.14         1212.12         1391.88
            65237455              56        12.63        17.39          707.28          973.84
            38072280              17        22.95        28.65          390.15          487.05
            46738486              38        14.87        19.44          565.06          738.72
            64853503              41        12.51        16.82          512.91          689.62
            18082546              53        23.34        29.03         1237.02         1538.59
            28166727               8        17.58        23.34          140.64          186.72
            62028894              95        28.44        33.25         2701.80         3158.75
            31050885              78        18.33        21.95         1429.74         1712.10
            79902221              71        22.07        25.66         1566.97         1821.86
            43510588              29        25.05        29.18          726.45          846.22
            21314622              60        18.99        24.19         1139.40         1451.40
            84001619               3        20.58        24.48           61.74           73.44
            35539581              17        16.74        22.13          284.58          376.21
            70401508              98        28.82        34.04         2824.36         3335.92
            71351528              91        18.02        21.76         1639.82         1980.16
            50295179              88        23.09        28.10         2031.92         2472.80
            83637016              69        27.45        31.72         1894.05         2188.68
            18059483              19        13.66        17.57          259.54          333.83
            62839762              93        14.75        20.19         1371.75         1877.67
            22387159              81        13.54        19.15         1096.74         1551.15
            77445705              30        29.18        33.65          875.40         1009.50
            41610696               9        14.03        17.30          126.27          155.70
            58339617              68        13.73        18.72          933.64         1272.96
            82258988              50        17.04        20.76          852.00         1038.00
            63435178              55        22.04        27.16         1212.20         1493.80
            81982758              56        10.68        14.84          598.08          831.04
            54221156              93        13.04        18.12         1212.72         1685.16
            61130267              34        10.88        14.34          369.92          487.56
            48509677               4        25.20        29.71          100.80          118.84
            34389249              83        17.68        22.58         1467.44         1874.14
            73324460              35        13.12        18.60          459.20          651.00
            85699185              26        13.43        19.23          349.18          499.98
            21291543              84        21.88        27.76         1837.92         2331.84
            25725760              15        26.82        32.17          402.30          482.55
            75541722              78        22.80        25.97         1778.40         2025.66
            37761798              48        13.31        17.97          638.88          862.56
            76076746              64        15.72        19.29         1006.08         1234.56
            78206035              11        25.00        30.19          275.00          332.09
            77445705              30        29.18        33.65          875.40         1009.50
            12949685               6        26.89        30.96          161.34          185.76
            36473623              16        15.21        19.89          243.36          318.24
            43849621              22        20.16        23.82          443.52          524.04
            47216256              83        24.21        30.02         2009.43         2491.66
            73833666              69        21.75        26.11         1500.75         1801.59
            49052689              79        23.14        27.68         1828.06         2186.72
            84666631              32        28.79        34.75          921.28         1112.00
            64002588              59        20.18        24.44         1190.62         1441.96
            88563106              11        11.74        16.01          129.14          176.11
            34189844              93        16.77        20.93         1559.61         1946.49
            46318094              53        13.39        18.74          709.67          993.22
            79153401              57        24.13        27.24         1375.41         1552.68
            77189549              21        21.15        24.64          444.15          517.44
            87553231              70        23.79        28.20         1665.30         1974.00
            11303142              47        10.56        16.35          496.32          768.45
            50019335              63        18.86        23.04         1188.18         1451.52
            21340084              74        23.88        29.40         1767.12         2175.60
            49336268              99        15.02        18.51         1486.98         1832.49
            41721415              31        12.02        17.97          372.62          557.07
            74543762              61        12.57        16.86          766.77         1028.46
            78407458               4        16.28        21.33           65.12           85.32
            17800899              16        22.20        26.01          355.20          416.16
            28069210              27        12.45        16.94          336.15          457.38
            23375463              13        15.85        20.15          206.05          261.95
            70937179              64        12.78        17.75          817.92         1136.00
            68849001              21        11.90        15.56          249.90          326.76
            84179853              47        12.93        18.61          607.71          874.67
            32827437               8        20.49        24.73          163.92          197.84
            16618211              24        17.44        20.78          418.56          498.72
            60289116               3        14.50        18.91           43.50           56.73
            23842706              77        10.92        14.54          840.84         1119.58
            79490708              84        10.37        15.25          871.08         1281.00
            54366510              24        13.73        18.58          329.52          445.92
            15039599               1        21.53        26.95           21.53           26.95
            42884653              91        15.56        19.32         1415.96         1758.12
            52715440              86        16.72        20.05         1437.92         1724.30
            14947415              10        16.17        21.10          161.70          211.00
            54667311              34        13.30        17.40          452.20          591.60
            50317035              30        22.64        25.68          679.20          770.40
            65237455              56        12.63        17.39          707.28          973.84
            77514121              29        23.08        26.38          669.32          765.02
            77803747              70        26.72        29.74         1870.40         2081.80
            70811150              90        27.85        33.48         2506.50         3013.20
            44603982              11        14.04        18.87          154.44          207.57
            65915441              71        18.19        24.01         1291.49         1704.71
            73324460              35        13.12        18.60          459.20          651.00
            18082546              53        23.34        29.03         1237.02         1538.59
            59802180              33        13.26        17.79          437.58          587.07
            78023688              28        29.67        35.41          830.76          991.48
            37511487              37        25.77        30.34          953.49         1122.58
            49300488              61        10.69        16.28          652.09          993.08
            46288741              98        26.86        32.62         2632.28         3196.76
            32407988              15        28.85        34.65          432.75          519.75
            27572106              22        25.71        31.56          565.62          694.32
            16643747              76        20.80        26.65         1580.80         2025.40
            32407988              15        28.85        34.65          432.75          519.75
            39635549               8        28.02        33.32          224.16          266.56
            31650412              77        28.82        32.43         2219.14         2497.11
            28458648              97        19.67        22.73         1907.99         2204.81
            87209284              91        27.20        31.42         2475.20         2859.22
            79334055              46        26.54        30.77         1220.84         1415.42
            80101873              62        28.13        32.28         1744.06         2001.36
            27176633              51        12.76        16.22          650.76          827.22
            81106814               9        12.55        17.38          112.95          156.42
            83582158              67        22.44        26.30         1503.48         1762.10
            41989446              16        22.21        27.26          355.36          436.16
            81781879              98        21.13        24.15         2070.74         2366.70
            35141667              98        21.15        26.43         2072.70         2590.14
            42978025              89        27.65        33.36         2460.85         2969.04
            44493871              38        21.74        24.88          826.12          945.44
            86202831              47        29.26        35.23         1375.22         1655.81
            64463514               1        15.90        19.22           15.90           19.22
            40171345              51        17.93        21.06          914.43         1074.06
            82887766              39        16.82        21.55          655.98          840.45
            88452976              45        13.45        17.83          605.25          802.35
            14599689              68        21.52        26.55         1463.36         1805.40
            77189549              21        21.15        24.64          444.15          517.44
            13258730              62        19.61        24.99         1215.82         1549.38
            15183855              18        24.59        29.80          442.62          536.40
            29884085              52        26.47        30.46         1376.44         1583.92
            63798705              29        25.13        30.85          728.77          894.65
            17800899              16        22.20        26.01          355.20          416.16
            44560715              50        13.19        17.67          659.50          883.50
            84666631              32        28.79        34.75          921.28         1112.00
            76427814              70        21.25        24.36         1487.50         1705.20
            43548519              44        13.50        16.95          594.00          745.80
            21523085              56        18.54        22.90         1038.24         1282.40
            58445058               2        21.96        27.41           43.92           54.82
            28810429              81        29.49        33.01         2388.69         2673.81
            35390230              73        26.80        31.99         1956.40         2335.27
            51138886              14        29.87        34.45          418.18          482.30
            31665020              26        15.76        18.78          409.76          488.28
            55344433              71        29.00        34.35         2059.00         2438.85
            77085365              41        22.53        26.66          923.73         1093.06
            39347416              68        18.06        23.68         1228.08         1610.24
            34311148              62        12.77        18.19          791.74         1127.78
            45117011             100        19.02        24.56         1902.00         2456.00
            86457838              45        22.84        25.86         1027.80         1163.70
            40278707              84        20.15        24.30         1692.60         2041.20
            24718062              29        24.71        30.57          716.59          886.53
            85525597              18        17.05        22.42          306.90          403.56
            22971931              40        17.84        23.59          713.60          943.60
            54756389               6        10.30        13.48           61.80           80.88
            79891110               8        10.47        16.15           83.76          129.20
            56222908              32        15.37        20.22          491.84          647.04
            25372090              93        17.27        22.99         1606.11         2138.07
            77643941              27        13.18        16.62          355.86          448.74
            57978117              10        28.15        33.61          281.50          336.10
            74877073              90        19.64        22.65         1767.60         2038.50
            35262107               8        14.46        19.91          115.68          159.28
            58445058               2        21.96        27.41           43.92           54.82
            21291543              84        21.88        27.76         1837.92         2331.84
            50536431              89        26.48        29.98         2356.72         2668.22
            80084832              35        23.91        28.79          836.85         1007.65
            39341800              25        24.32        29.58          608.00          739.50
            45136408               2        12.71        15.71           25.42           31.42
            31803679              94        23.14        26.61         2175.16         2501.34
            71912539               9        13.96        19.25          125.64          173.25
            34549045               7        13.67        16.67           95.69          116.69
            35303316              84        10.96        14.03          920.64         1178.52
            82011078              13        18.39        23.28          239.07          302.64
            66698657              48        16.13        21.83          774.24         1047.84
            21323997              81        12.74        16.19         1031.94         1311.39
            37948824              62        25.06        28.67         1553.72         1777.54
            59128090              11        16.39        20.12          180.29          221.32
            38334221               7        26.57        32.06          185.99          224.42
            19121129              99        11.37        14.84         1125.63         1469.16
            31803679              94        23.14        26.61         2175.16         2501.34
            83582158              67        22.44        26.30         1503.48         1762.10
            58782510              80        21.90        25.49         1752.00         2039.20
            29134137              49        13.61        18.81          666.89          921.69
            59142280              97        20.84        25.19         2021.48         2443.43
            21291543              84        21.88        27.76         1837.92         2331.84
            13174473              91        29.75        35.68         2707.25         3246.88
            40749682              96        14.45        19.50         1387.20         1872.00
            79065482              77        15.63        21.13         1203.51         1627.01
            62963680              36        17.16        22.50          617.76          810.00
            11303142              47        10.56        16.35          496.32          768.45
            15431795              95        15.33        19.15         1456.35         1819.25
            85598406              64        10.32        14.12          660.48          903.68
            56827836              55        15.74        20.17          865.70         1109.35
            56884152               4        15.70        21.26           62.80           85.04
            45117011             100        19.02        24.56         1902.00         2456.00
            58810322               4        19.17        25.03           76.68          100.12
            42770709              50        12.19        15.44          609.50          772.00
            46621097              48        26.37        29.84         1265.76         1432.32
            61130267              34        10.88        14.34          369.92          487.56
            76601028              28        21.49        25.62          601.72          717.36
            70811150              90        27.85        33.48         2506.50         3013.20
            43941327              31        12.59        16.54          390.29          512.74
            49013255              89        18.32        24.27         1630.48         2160.03
            18059483              19        13.66        17.57          259.54          333.83
            15183855              18        24.59        29.80          442.62          536.40
            63758855              39        11.25        14.70          438.75          573.30
            62028894              95        28.44        33.25         2701.80         3158.75
            81252880              16        14.36        18.04          229.76          288.64
            69865581              94        21.26        26.45         1998.44         2486.30
            41677726              77        14.76        18.57         1136.52         1429.89
            55344433              71        29.00        34.35         2059.00         2438.85
            36733364              69        29.72        35.59         2050.68         2455.71
            14366464              32        10.12        15.81          323.84          505.92
            57301383              68        15.52        21.46         1055.36         1459.28
            83980353              56        20.50        25.99         1148.00         1455.44
            73657743              49        19.68        23.46          964.32         1149.54
            65853384              51        18.67        22.56          952.17         1150.56
            13258730              62        19.61        24.99         1215.82         1549.38
            77430412              70        29.20        34.45         2044.00         2411.50
            57630177              38        26.52        29.81         1007.76         1132.78
            66028170              21        17.59        23.57          369.39          494.97
            43210345              76        11.33        14.55          861.08         1105.80
            72587977              76        24.53        29.75         1864.28         2261.00
            75724437              74        23.26        26.87         1721.24         1988.38
            84777768              66        11.40        14.53          752.40          958.98
            58038988              62        13.42        17.69          832.04         1096.78
            73833666              69        21.75        26.11         1500.75         1801.59
            36990628              49        28.67        33.09         1404.83         1621.41
            39347416              68        18.06        23.68         1228.08         1610.24
            60683021               2        18.36        23.75           36.72           47.50
            17692750              97        18.54        23.26         1798.38         2256.22
            58609625               1        23.58        27.78           23.58           27.78
            15963630               5        29.36        32.93          146.80          164.65
            86012790               1        11.18        15.75           11.18           15.75
            83637016              69        27.45        31.72         1894.05         2188.68
            46132369              64        28.23        32.34         1806.72         2069.76
            75529079              28        29.27        33.08          819.56          926.24
            54404663              50        25.23        29.16         1261.50         1458.00
            56030075              46        18.62        22.81          856.52         1049.26
            46288741              98        26.86        32.62         2632.28         3196.76
            66992188              85        29.40        33.97         2499.00         2887.45
            86414890              27        10.02        14.42          270.54          389.34
            36733364              69        29.72        35.59         2050.68         2455.71
            56222908              32        15.37        20.22          491.84          647.04
            83980353              56        20.50        25.99         1148.00         1455.44
            83582158              67        22.44        26.30         1503.48         1762.10
            49996948              32        21.50        26.64          688.00          852.48
            79195238              21        11.38        15.86          238.98          333.06
            65853384              51        18.67        22.56          952.17         1150.56
            41818150              51        13.22        18.99          674.22          968.49
            22971931              40        17.84        23.59          713.60          943.60
            32216703              97        23.12        28.83         2242.64         2796.51
            22231544              65        23.11        28.16         1502.15         1830.40
            49493175              39        14.55        19.03          567.45          742.17
            44544249               3        26.55        30.19           79.65           90.57
            11587650              37        10.76        14.92          398.12          552.04
            22442765              20        14.24        18.39          284.80          367.80
            45136408               2        12.71        15.71           25.42           31.42
            24955147             100        15.08        20.76         1508.00         2076.00
            74375297              31        12.28        18.21          380.68          564.51
            16643747              76        20.80        26.65         1580.80         2025.40
            58485457               5        23.64        28.18          118.20          140.90
            25725760              15        26.82        32.17          402.30          482.55
            52392582              78        16.69        20.31         1301.82         1584.18
            26383509              27        22.91        27.15          618.57          733.05
            79891110               8        10.47        16.15           83.76          129.20
            56953445              35        21.16        25.85          740.60          904.75
            60410146              21        26.93        32.34          565.53          679.14
            79900665              22        21.35        24.99          469.70          549.78
            80858072              98        13.32        16.89         1305.36         1655.22
            22307784              99        14.22        19.97         1407.78         1977.03
            16224831              41        11.63        16.47          476.83          675.27
            74375297              31        12.28        18.21          380.68          564.51
            57630177              38        26.52        29.81         1007.76         1132.78
            47553915              25        19.60        25.24          490.00          631.00
            87553231              70        23.79        28.20         1665.30         1974.00
            43548519              44        13.50        16.95          594.00          745.80
            85699860              21        20.28        23.37          425.88          490.77
            15963630               5        29.36        32.93          146.80          164.65
            29022294              63        14.43        18.23          909.09         1148.49
            34171236              19        24.01        29.29          456.19          556.51
            49263193              93        29.39        34.89         2733.27         3244.77
            34092153               3        23.76        29.20           71.28           87.60
            69855441              96        15.56        18.77         1493.76         1801.92
            41555059              44        27.38        32.97         1204.72         1450.68
            83762728              45        22.25        25.31         1001.25         1138.95
            26923610              35        21.70        25.06          759.50          877.10
            30174319              22        29.51        33.43          649.22          735.46
            77803747              70        26.72        29.74         1870.40         2081.80
            66955027              45        26.73        30.99         1202.85         1394.55
            66910032              10        12.87        17.11          128.70          171.10
            39421903              19        10.45        16.29          198.55          309.51
            86578282              36        29.59        33.51         1065.24         1206.36
            44481271              78        27.03        32.21         2108.34         2512.38
            67317709              16        10.27        15.03          164.32          240.48
            43051474              81        20.39        25.20         1651.59         2041.20
            50040763              32        14.71        20.02          470.72          640.64
            84623811               2        15.66        20.90           31.32           41.80
            29691501              57        22.78        28.28         1298.46         1611.96
            16224831              41        11.63        16.47          476.83          675.27
            15276046              96        15.72        19.42         1509.12         1864.32
            62111634               1        16.41        19.97           16.41           19.97
            35342162              75        29.91        34.65         2243.25         2598.75
            57667879              22        16.21        22.04          356.62          484.88
            35304393              38        29.75        33.66         1130.50         1279.08
            62283911               7        15.50        21.11          108.50          147.77
            21094940              53        12.59        17.31          667.27          917.43
            56664402              75        12.40        15.93          930.00         1194.75
            50295179              88        23.09        28.10         2031.92         2472.80
            23026496              35        20.95        24.90          733.25          871.50
            17559533              50        24.91        30.57         1245.50         1528.50
            86414890              27        10.02        14.42          270.54          389.34
            33686751              46        20.10        23.74          924.60         1092.04
            68458253              17        18.28        21.32          310.76          362.44
            60384491              55        28.17        32.53         1549.35         1789.15
            57667879              22        16.21        22.04          356.62          484.88
            32913509              42        11.94        16.43          501.48          690.06
            66125098              44        22.44        28.41          987.36         1250.04
            41610696               9        14.03        17.30          126.27          155.70
            40299841              50        28.50        31.89         1425.00         1594.50
            77445705              30        29.18        33.65          875.40         1009.50
            62028894              95        28.44        33.25         2701.80         3158.75
            53518629              69        11.66        17.49          804.54         1206.81
            56664402              75        12.40        15.93          930.00         1194.75
            50040763              32        14.71        20.02          470.72          640.64
            76147512              40        24.26        27.40          970.40         1096.00
            29022294              63        14.43        18.23          909.09         1148.49
            52614745              37        22.62        28.25          836.94         1045.25
            14379934              45        29.70        33.17         1336.50         1492.65
            57978117              10        28.15        33.61          281.50          336.10
            58339617              68        13.73        18.72          933.64         1272.96
            56044625              77        26.84        30.00         2066.68         2310.00
            81912584              99        26.86        31.94         2659.14         3162.06
            47553915              25        19.60        25.24          490.00          631.00
            39941194              44        19.12        23.33          841.28         1026.52
            12949685               6        26.89        30.96          161.34          185.76
            34307586              41        18.20        24.14          746.20          989.74
            66314342              42        21.79        27.58          915.18         1158.36
            88491828              34        29.57        34.24         1005.38         1164.16
            28810429              81        29.49        33.01         2388.69         2673.81
            49265048              58        13.50        18.90          783.00         1096.20
            58485457               5        23.64        28.18          118.20          140.90
            16768461              35        10.07        15.28          352.45          534.80
            44603982              11        14.04        18.87          154.44          207.57
            50536431              89        26.48        29.98         2356.72         2668.22
            43051474              81        20.39        25.20         1651.59         2041.20
            74435780              64        24.09        29.58         1541.76         1893.12
            71852096              57        26.92        30.71         1534.44         1750.47
            17800899              16        22.20        26.01          355.20          416.16
            27270146              81        23.52        27.65         1905.12         2239.65
            32827437               8        20.49        24.73          163.92          197.84
            37948824              62        25.06        28.67         1553.72         1777.54
            77086674              85        18.06        23.88         1535.10         2029.80
            75799058              31        25.89        30.75          802.59          953.25
            55000517              95        11.84        15.36         1124.80         1459.20
            19784361               6        18.19        21.20          109.14          127.20
            21098319              27        16.73        20.84          451.71          562.68
            54366510              24        13.73        18.58          329.52          445.92
            18082546              53        23.34        29.03         1237.02         1538.59
            81106814               9        12.55        17.38          112.95          156.42
            60384491              55        28.17        32.53         1549.35         1789.15
            53904146              33        29.37        35.22          969.21         1162.26
            57739204               1        23.02        27.52           23.02           27.52
            62481686              38        27.38        31.15         1040.44         1183.70
            32913509              42        11.94        16.43          501.48          690.06
            34850784              89        12.43        15.68         1106.27         1395.52
            28560733              85        29.66        34.80         2521.10         2958.00
            60716308              47        20.86        26.78          980.42         1258.66
            28062267              47        14.68        18.06          689.96          848.82
            60360685              42        28.86        33.14         1212.12         1391.88
            68262175              92        19.83        24.50         1824.36         2254.00
            40176566              78        23.29        29.24         1816.62         2280.72
            78907535              46        22.91        27.32         1053.86         1256.72
            18977685              81        16.39        20.36         1327.59         1649.16
            88046718              25        22.56        27.49          564.00          687.25
            87553231              70        23.79        28.20         1665.30         1974.00
            56884152               4        15.70        21.26           62.80           85.04
            43771833              50        18.24        21.52          912.00         1076.00
            22142782              41        17.65        21.80          723.65          893.80
            86232263              80        11.06        14.93          884.80         1194.40
            76076746              64        15.72        19.29         1006.08         1234.56
            60683021               2        18.36        23.75           36.72           47.50
            31650412              77        28.82        32.43         2219.14         2497.11
            44481271              78        27.03        32.21         2108.34         2512.38
            81138617              46        15.15        19.76          696.90          908.96
            77430412              70        29.20        34.45         2044.00         2411.50
            79900665              22        21.35        24.99          469.70          549.78
            32407988              15        28.85        34.65          432.75          519.75
            62283911               7        15.50        21.11          108.50          147.77
            66125098              44        22.44        28.41          987.36         1250.04
            44735928               9        27.18        31.76          244.62          285.84
            23842706              77        10.92        14.54          840.84         1119.58
            51080942              56        23.57        29.09         1319.92         1629.04
            14375908              58        15.24        19.87          883.92         1152.46
            52700852              67        28.70        31.79         1922.90         2129.93
            58759637              78        15.20        18.21         1185.60         1420.38
            28458648              97        19.67        22.73         1907.99         2204.81
            43891580              46        11.44        16.13          526.24          741.98
            65014865              54        28.95        34.28         1563.30         1851.12
            80203561               4        28.03        32.89          112.12          131.56
            72247784              90        11.52        17.26         1036.80         1553.40
            77085365              41        22.53        26.66          923.73         1093.06
            63706075              21        15.39        21.26          323.19          446.46
            36020570              22        15.27        19.78          335.94          435.16
            69865581              94        21.26        26.45         1998.44         2486.30
            26923610              35        21.70        25.06          759.50          877.10
            28458648              97        19.67        22.73         1907.99         2204.81
            60123854              80        22.90        26.34         1832.00         2107.20
            35141667              98        21.15        26.43         2072.70         2590.14
            74627727              31        23.93        28.06          741.83          869.86
            16768461              35        10.07        15.28          352.45          534.80
            86457838              45        22.84        25.86         1027.80         1163.70
            40095023              62        18.63        24.31         1155.06         1507.22
            71351528              91        18.02        21.76         1639.82         1980.16
            64853503              41        12.51        16.82          512.91          689.62
            87209284              91        27.20        31.42         2475.20         2859.22
            27640169              59        10.52        15.35          620.68          905.65
            60027243              72        19.48        24.93         1402.56         1794.96
            41818150              51        13.22        18.99          674.22          968.49
            86202831              47        29.26        35.23         1375.22         1655.81
            27972823              12        28.73        32.17          344.76          386.04
            50134836               8        27.71        31.48          221.68          251.84
            61677125              39        27.05        32.57         1054.95         1270.23
            22877827               6        16.46        21.19           98.76          127.14
            48635725              21        18.82        23.72          395.22          498.12
            88563106              11        11.74        16.01          129.14          176.11
            22877827               6        16.46        21.19           98.76          127.14
            18398033              13        29.16        32.22          379.08          418.86
            48635725              21        18.82        23.72          395.22          498.12
            27640169              59        10.52        15.35          620.68          905.65
            34189844              93        16.77        20.93         1559.61         1946.49
            43984612              76        25.76        31.51         1957.76         2394.76
            17327188              41        23.79        28.18          975.39         1155.38
            15495526              36        16.20        20.47          583.20          736.92
            14366464              32        10.12        15.81          323.84          505.92
            18982295              44        21.43        25.71          942.92         1131.24
            71733835              17        22.36        25.67          380.12          436.39
            83740526              23        19.56        22.59          449.88          519.57
            57630177              38        26.52        29.81         1007.76         1132.78
            17800899              16        22.20        26.01          355.20          416.16
            31917171              58        23.27        27.29         1349.66         1582.82
            85699185              26        13.43        19.23          349.18          499.98
            72874936               5        18.34        22.96           91.70          114.80
            14578137              41        16.99        21.27          696.59          872.07
            21323997              81        12.74        16.19         1031.94         1311.39
            47578754              90        26.20        30.44         2358.00         2739.60
            76427814              70        21.25        24.36         1487.50         1705.20
            88301639              13        23.37        27.32          303.81          355.16
            85699860              21        20.28        23.37          425.88          490.77
            80581530              95        11.64        15.99         1105.80         1519.05
            63689991              40        26.49        31.87         1059.60         1274.80
            85699185              26        13.43        19.23          349.18          499.98
            37195393              94        25.99        29.97         2443.06         2817.18
            80581530              95        11.64        15.99         1105.80         1519.05
            11303142              47        10.56        16.35          496.32          768.45
            50040763              32        14.71        20.02          470.72          640.64
            46182485              57        11.19        15.73          637.83          896.61
            70692724               6        19.41        22.88          116.46          137.28
            49336268              99        15.02        18.51         1486.98         1832.49
            20766559              15        17.28        21.88          259.20          328.20
            47296985               1        10.99        15.81           10.99           15.81
            38917581              77        26.47        31.07         2038.19         2392.39
            31353041              28        21.82        27.67          610.96          774.76
            74435780              64        24.09        29.58         1541.76         1893.12
            11458375             100        18.51        21.68         1851.00         2168.00
            74375297              31        12.28        18.21          380.68          564.51
            11458375             100        18.51        21.68         1851.00         2168.00
            80955309               3        16.51        20.07           49.53           60.21
            71912539               9        13.96        19.25          125.64          173.25
            60289116               3        14.50        18.91           43.50           56.73
            78206035              11        25.00        30.19          275.00          332.09
            19103941              66        25.55        28.79         1686.30         1900.14
            63689991              40        26.49        31.87         1059.60         1274.80
            55473817              57        19.13        22.13         1090.41         1261.41
            75541722              78        22.80        25.97         1778.40         2025.66
            75647204              28        19.39        24.87          542.92          696.36
            52700852              67        28.70        31.79         1922.90         2129.93
            36473623              16        15.21        19.89          243.36          318.24
            12880478              18        24.61        30.20          442.98          543.60
            22231544              65        23.11        28.16         1502.15         1830.40
            68324629               6        24.98        30.61          149.88          183.66
